"schoolid","schoolname","cohort","lt_emp","bar_ftlt","bar_ftst","bar_ptlt","bar_ptst","bar_emp","jda_ftlt","jda_ftst","jda_ptlt","jda_ptst","jda_emp","prof_ftlt","prof_ftst","prof_ptlt","prof_ptst","prof_emp","nprof_ftlt","nprof_ftst","nprof_ptlt","nprof_ptst","nprof_emp","undet_ftlt","undet_ftst","undet_ptlt","undet_ptst","undet_emp","gradsch_ft","emp_def","unemp_ns","unemp_seek","emp_stat_unk","total_grads","fundbar_ftlt","fundbar_ftst","fundbar_ptlt","fundbar_ptst","fundbar_emp","lawfund_lt","lawfund_st","fundjda_ftlt","fundjda_ftst","fundjda_ptlt","fundjda_ptst","fundjda_emp","fundprof_ftlt","fundprof_ftst","fundprof_ptlt","fundprof_ptst","fundprof_emp","fundnprof_ftlt","fundnprof_ftst","fundnprof_ptlt","fundnprof_ptst","fundnprof_emp","funded_ftlt","funded_ftst","funded_ptlt","funded_ptst","funded_emp","solo_ftlt","solo_ftst","solo_ptlt","solo_ptst","solo_emp","solo_lt","solo_st","sz_1_10_ftlt","sz_1_10_ftst","sz_1_10_ptlt","sz_1_10_ptst","sz_1_10_emp","sz_2_10_lt","sz_2_10_st","sz_11_25_ftlt","sz_11_25_ftst","sz_11_25_ptlt","sz_11_25_ptst","sz_11_25_emp","sz_11_25_lt","sz_11_25_st","sz_26_50_ftlt","sz_26_50_ftst","sz_26_50_ptlt","sz_26_50_ptst","sz_26_50_emp","sz_26_50_lt","sz_26_50_st","sz_51_100_ftlt","sz_51_100_ftst","sz_51_100_ptlt","sz_51_100_ptst","sz_51_100_emp","sz_51_100_lt","sz_51_100_st","sz_101_250_ftlt","sz_101_250_ftst","sz_101_250_ptlt","sz_101_250_ptst","sz_101_250_emp","sz_101_250_lt","sz_101_250_st","sz_251_500_ftlt","sz_251_500_ftst","sz_251_500_ptlt","sz_251_500_ptst","sz_251_500_emp","sz_251_500_lt","sz_251_500_st","sz_501up_ftlt","sz_501up_ftst","sz_501up_ptlt","sz_501up_ptst","sz_501up_emp","sz_501up_lt","sz_501up_st","sz_unk_ftlt","sz_unk_ftst","sz_unk_ptlt","sz_unk_ptst","sz_unk_emp","sz_unk_lt","sz_unk_st","bsind_ftlt","bsind_ftst","bsind_ptlt","bsind_ptst","bsind_emp","bsind_lt","bsind_st","gov_ftlt","gov_ftst","gov_ptlt","gov_ptst","gov_emp","gov_lt","gov_st","pub_ftlt","pub_ftst","pub_ptlt","pub_ptst","pub_emp","pub_lt","pub_st","fedclk_ftlt","fedclk_ftst","fedclk_ptlt","fedclk_ptst","fedclk_emp","fedclk_lt","fedclk_st","locclk_ftlt","locclk_ftst","locclk_ptlt","locclk_ptst","locclk_emp","locclk_lt","locclk_st","othclk_ftlt","othclk_ftst","othclk_ptlt","othclk_ptst","othclk_emp","acad_ftlt","acad_ftst","acad_ptlt","acad_ptst","acad_emp","acad_lt","acad_st","unk_ftlt","unk_ftst","unk_ptlt","unk_ptst","unk_emp","total_ftlt","total_ftst","total_ptlt","total_ptst","total_emp_type","total_lt","total_st","state_emp1","state_emp1_num","state_emp2","state_emp2_num","state_emp3","state_emp3_num","foreign_emp_num"
"00130503","Stanford University","2019","","155","0","1","0","156","9","0","0","0","9","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","182","8","2","0","0","10","","","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","8","3","0","0","11","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","2","0","0","0","2","","","2","0","0","0","2","","","2","0","0","0","2","","","8","0","1","0","9","","","75","0","0","0","75","","","0","0","0","0","0","","","9","0","0","0","9","","","7","0","0","0","7","","","12","3","0","0","15","","","53","0","0","0","53","","","3","0","0","0","3","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","174","3","1","0","178","","","CA","74","NY","25","DC","15","0"
"00131273","University of California-Berkeley","2019","","296","2","0","0","298","6","0","0","1","7","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2","1","0","1","1","328","15","0","0","0","15","","","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","16","0","0","0","16","0","0","0","0","0","","","1","0","0","0","1","","","8","0","0","0","8","","","5","0","0","0","5","","","3","0","0","0","3","","","12","0","0","0","12","","","12","0","0","0","12","","","170","0","0","0","170","","","0","0","0","0","0","","","5","0","0","2","7","","","14","1","0","0","15","","","44","1","0","0","45","","","34","0","0","0","34","","","11","0","0","0","11","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","319","2","0","2","323","","","CA","214","NY","37","DC","23","4"
"00131373","University of California-Davis","2019","","121","2","0","0","123","7","1","0","0","8","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","0","2","5","1","154","8","0","0","0","8","","","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","8","0","0","4","12","0","0","0","0","0","","","20","0","0","0","20","","","12","0","0","0","12","","","6","0","0","0","6","","","11","0","0","0","11","","","3","0","0","0","3","","","2","0","0","0","2","","","19","1","0","0","20","","","3","0","0","0","3","","","13","1","0","1","15","","","20","0","0","0","20","","","18","1","0","0","19","","","3","0","0","0","3","","","4","0","0","0","4","","","0","0","0","0","0","2","0","0","5","7","","","0","0","0","0","0","136","3","0","6","145","","","CA","125","AK","4","DC","2","6"
"00131400","University of California-Irvine","2019","","110","0","0","1","111","5","0","0","0","5","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","1","1","11","1","141","7","0","0","0","7","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","7","0","0","0","0","0","","","11","0","0","1","12","","","12","0","0","0","12","","","6","0","0","0","6","","","10","0","0","0","10","","","7","0","0","0","7","","","3","0","0","0","3","","","31","0","0","0","31","","","0","0","0","0","0","","","4","0","0","1","5","","","8","0","0","0","8","","","19","0","0","0","19","","","4","0","0","0","4","","","6","0","0","0","6","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","122","0","0","2","124","","","CA","104","NV","4","CO","3","1"
"00131500","University of California-Los Angeles","2019","","278","0","0","0","278","11","0","0","1","12","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","2","1","6","1","317","12","0","0","0","12","","","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","14","0","0","0","14","0","0","0","0","0","","","22","0","0","0","22","","","22","0","0","0","22","","","11","0","0","0","11","","","14","0","0","0","14","","","15","0","0","0","15","","","9","0","0","0","9","","","126","0","0","0","126","","","0","0","0","0","0","","","14","0","1","1","16","","","9","0","0","0","9","","","42","0","0","0","42","","","13","0","0","0","13","","","5","0","0","0","5","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","303","0","1","1","305","","","CA","245","NY","23","PA","5","2"
"00132500","University of San Francisco","2019","","47","5","1","0","53","12","2","3","4","21","1","0","1","0","2","0","0","2","0","2","0","0","0","0","0","0","1","13","25","2","119","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","","","16","1","1","2","20","","","6","1","0","0","7","","","1","0","0","0","1","","","1","0","0","0","1","","","4","2","0","0","6","","","0","0","0","0","0","","","7","0","0","0","7","","","0","0","0","0","0","","","7","1","5","1","14","","","8","2","0","1","11","","","5","0","0","0","5","","","2","0","0","0","2","","","1","0","0","0","1","","","0","0","0","0","0","1","0","1","0","2","","","0","0","0","0","0","60","7","7","4","78","","","CA","75","DC","2","HI","1","0"
"00132600","Santa Clara University","2019","","128","2","2","1","133","15","2","3","2","22","2","0","0","1","3","0","0","1","0","1","0","0","0","0","0","0","3","3","37","2","211","0","0","0","0","0","","","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","1","","","31","1","2","0","34","","","13","0","0","0","13","","","2","0","0","0","2","","","7","0","1","0","8","","","1","0","0","0","1","","","2","0","0","0","2","","","27","0","0","0","27","","","0","0","0","0","0","","","34","1","2","4","41","","","18","0","0","0","18","","","6","1","1","0","8","","","2","0","0","0","2","","","0","1","0","0","1","","","0","0","0","0","0","1","0","0","7","8","","","0","0","0","0","0","145","4","6","11","166","","","CA","142","UT","2","DC","1","1"
"00132800","University of Southern California","2019","","191","1","0","0","192","11","1","5","0","17","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","224","1","3","0","0","4","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","4","0","0","0","0","0","","","32","0","0","0","32","","","7","0","1","0","8","","","2","0","0","0","2","","","6","0","0","0","6","","","7","0","0","0","7","","","13","0","0","0","13","","","89","1","0","0","90","","","0","0","0","0","0","","","16","1","4","0","21","","","12","2","0","0","14","","","9","1","0","0","10","","","5","0","0","0","5","","","3","0","0","0","3","","","0","0","0","0","0","3","0","0","0","3","","","0","0","0","0","0","204","5","5","0","214","","","CA","180","NY","9","DC","3","5"
"00132901","McGeorge School of Law","2019","","94","1","1","0","96","23","2","2","1","28","3","0","0","0","3","0","0","1","1","2","1","0","0","0","1","0","1","2","18","2","153","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","","","31","0","2","1","34","","","13","0","0","0","13","","","14","0","1","0","15","","","1","0","0","0","1","","","6","0","0","0","6","","","2","0","0","0","2","","","4","0","0","0","4","","","2","0","0","0","2","","","10","0","1","1","12","","","20","2","0","0","22","","","9","1","0","0","10","","","3","0","0","0","3","","","4","0","0","0","4","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","121","3","4","2","130","","","CA","113","NV","4","DC","2","3"
"00137000","University of Colorado","2019","","124","0","1","0","125","8","1","0","3","12","1","0","0","1","2","0","0","0","1","1","0","0","0","0","0","2","0","4","4","4","156","0","1","0","1","2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","1","0","0","0","1","","","15","0","1","1","17","","","8","0","0","0","8","","","8","0","0","0","8","","","0","0","0","0","0","","","7","0","0","0","7","","","3","0","0","0","3","","","16","0","0","0","16","","","0","0","0","0","0","","","10","0","0","3","13","","","26","1","0","1","28","","","11","0","0","0","11","","","6","0","0","0","6","","","22","1","0","1","24","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","133","2","1","6","142","","","CO","112","DC","5","CA","4","3"
"00137100","University of Denver","2019","","175","1","3","0","179","19","0","9","3","31","1","0","1","0","2","1","0","0","0","1","0","0","0","0","0","1","0","1","18","0","243","6","0","0","4","10","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","4","10","3","0","2","0","5","","","43","0","4","2","49","","","17","0","0","0","17","","","8","0","1","0","9","","","2","0","0","0","2","","","4","0","0","0","4","","","7","0","0","0","7","","","11","0","0","0","11","","","0","0","0","0","0","","","19","0","4","0","23","","","31","0","0","4","35","","","21","0","2","1","24","","","2","0","0","0","2","","","32","1","0","0","33","","","0","0","0","0","0","2","0","0","0","2","","","0","0","0","0","0","202","1","13","7","223","","","CO","196","DC","2","FL","2","1"
"00140201","Quinnipiac University","2019","","44","1","1","0","46","12","0","1","0","13","3","0","1","0","4","0","0","1","0","1","0","0","0","1","1","0","0","0","6","1","72","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","15","1","1","1","18","","","2","0","0","0","2","","","3","0","0","0","3","","","3","0","0","0","3","","","1","0","0","0","1","","","0","0","0","0","0","","","1","0","0","0","1","","","0","0","0","0","0","","","10","0","2","0","12","","","13","0","1","0","14","","","0","0","0","0","0","","","0","0","0","0","0","","","9","0","0","0","9","","","0","0","0","0","0","2","0","0","0","2","","","0","0","0","0","0","59","1","4","1","65","","","CT","41","NY","6","NJ","3","0"
"00141706","University of Connecticut","2019","","76","1","1","0","78","11","0","0","0","11","3","0","0","1","4","1","0","0","0","1","0","0","0","0","0","3","1","3","3","1","105","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","13","0","1","0","14","","","8","0","0","0","8","","","6","0","0","0","6","","","5","0","0","0","5","","","3","0","0","0","3","","","1","0","0","0","1","","","11","0","0","0","11","","","0","0","0","0","0","","","10","0","0","1","11","","","11","1","0","0","12","","","3","0","0","0","3","","","2","0","0","0","2","","","18","0","0","0","18","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","91","1","1","1","94","","","CT","70","MA","7","DC","4","3"
"00142600","Yale University","2019","","172","0","0","0","172","9","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","10","1","2","0","1","217","14","1","0","0","15","","","5","1","0","0","6","0","0","0","0","0","0","0","0","0","0","19","2","0","0","21","0","0","0","0","0","","","0","0","0","0","0","","","2","0","0","0","2","","","4","0","0","0","4","","","0","0","0","0","0","","","8","0","0","0","8","","","10","0","0","0","10","","","67","0","0","0","67","","","0","0","0","0","0","","","7","0","0","0","7","","","5","0","0","0","5","","","33","1","0","1","35","","","56","0","0","0","56","","","4","0","0","0","4","","","1","1","0","0","2","3","0","0","0","3","","","0","0","0","0","0","200","2","0","1","203","","","NY","65","DC","36","CA","23","6"
"00143401","American University","2019","","252","3","4","2","261","49","6","1","5","61","8","2","2","0","12","1","0","0","2","3","0","0","0","0","0","4","4","2","49","5","403","2","0","0","0","2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","1","0","1","0","2","","","26","0","1","1","28","","","17","0","0","0","17","","","9","0","0","0","9","","","7","0","0","0","7","","","9","0","0","0","9","","","13","0","0","0","13","","","37","1","0","0","38","","","1","0","1","0","2","","","34","4","1","4","43","","","71","4","1","2","78","","","36","0","1","1","38","","","11","0","1","0","12","","","37","2","0","0","39","","","0","0","0","0","0","3","0","0","1","4","","","0","0","0","0","0","312","11","7","9","339","","","DC","147","VA","46","MD","44","9"
"00143711","Catholic University of America","2019","","63","1","3","0","67","20","0","0","0","20","4","1","2","0","7","0","0","0","0","0","0","0","0","0","0","0","1","2","4","1","103","0","0","0","0","0","","","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","","","12","0","3","0","15","","","5","0","0","0","5","","","0","0","0","0","0","","","1","0","0","0","1","","","3","0","0","0","3","","","0","0","0","0","0","","","10","0","0","0","10","","","0","0","0","0","0","","","19","0","2","0","21","","","23","0","0","0","23","","","1","1","0","0","2","","","1","0","0","0","1","","","11","1","0","0","12","","","1","0","0","0","1","0","1","0","0","1","","","0","0","0","0","0","87","3","5","0","95","","","DC","46","MD","19","VA","15","0"
"00144102","District of Columbia","2019","","19","1","0","1","21","18","2","0","2","22","6","0","0","0","6","0","0","1","0","1","0","0","0","0","0","2","4","2","5","1","65","1","0","0","0","1","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","8","0","0","1","9","","","1","0","0","0","1","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","1","0","0","0","1","","","0","0","0","0","0","","","11","1","1","2","15","","","11","1","0","0","12","","","9","0","0","0","9","","","0","0","0","0","0","","","2","1","0","0","3","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","44","3","1","3","51","","","DC","21","MD","11","VA","8","0"
"00144402","George Washington University","2019","","370","4","0","0","374","54","3","5","1","63","6","0","1","2","9","1","0","0","0","1","0","0","0","0","0","7","5","5","34","2","503","3","0","0","0","3","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","","","45","0","3","1","49","","","14","0","0","0","14","","","12","0","0","0","12","","","17","0","0","0","17","","","17","0","0","0","17","","","26","0","0","0","26","","","113","0","0","0","113","","","0","0","0","0","0","","","43","5","3","1","52","","","74","0","0","1","75","","","23","0","0","0","23","","","11","1","0","0","12","","","35","1","0","0","36","","","0","0","0","0","0","4","0","0","0","4","","","0","0","0","0","0","434","7","6","3","450","","","DC","216","NY","65","VA","36","12"
"00144503","Georgetown University","2019","","542","4","1","0","547","30","2","0","0","32","6","1","0","2","9","0","0","0","0","0","0","0","0","0","0","9","8","5","15","0","667","26","1","0","1","28","","","8","1","0","4","13","0","0","0","1","1","0","0","0","0","0","34","2","0","6","42","1","0","0","0","1","","","18","0","0","0","18","","","9","0","0","0","9","","","6","0","0","0","6","","","7","0","0","0","7","","","17","0","0","0","17","","","37","0","0","0","37","","","281","1","0","0","282","","","1","0","0","0","1","","","34","1","0","1","36","","","72","1","0","1","74","","","60","3","1","4","68","","","36","1","0","0","37","","","32","2","0","1","35","","","0","0","0","0","0","1","0","0","1","2","","","0","0","0","0","0","612","9","1","8","630","","","DC","252","NY","147","CA","36","13"
