"schoolid","schoolname","calendaryear","academicyear","factotal","facmen","facwomen","facother","facminority","ftfactotal","ftfacmen","ftfacwomen","ftfacother","ftfacminority","nonftfactotal","nonftfacmen","nonftfacwomen","nonftfacother","nonftfacminority","totallibrarian","ftlibrarian","ptlibrarian","totaladmin","ftadmin","ptadmin"
"00300500","University of North Dakota","2019","2018","27","13","14","0","5","15","6","9","0","2","12","7","5","0","3","3","3","0","12","12","0"
"00302302","Capital University","2019","2018","76","52","24","0","9","25","14","11","0","3","51","38","13","0","6","2","2","0","13","13","0"
"00302400","Case Western Reserve University","2019","2018","95","72","23","0","8","38","25","13","0","6","57","47","10","0","2","10","10","0","11","10","1"
"00303200","Cleveland State University","2019","2018","92","61","31","0","14","31","18","13","0","5","61","43","18","0","9","5","5","0","18","7","11"
"00308900","Ohio Northern University","2019","2018","25","11","14","0","3","21","9","12","0","3","4","2","2","0","0","3","3","0","10","10","0"
"00309000","Ohio State University","2019","2018","123","80","43","0","14","54","29","25","0","9","69","51","18","0","5","9","9","0","1","1","0"
"00312300","University of Akron","2019","2018","65","37","28","0","6","26","13","13","0","4","39","24","15","0","2","4","4","0","10","10","0"
"00312500","University of Cincinnati","2019","2018","92","51","33","8","8","37","16","21","0","5","55","35","12","8","3","7","7","0","6","6","0"
"00312700","University of Dayton","2019","2018","71","39","32","0","12","23","9","14","0","4","48","30","18","0","8","4","4","0","10","10","0"
"00313100","University of Toledo","2019","2018","43","26","17","0","5","25","14","11","0","3","18","12","6","0","2","4","3","1","3","3","0"
"00316614","Oklahoma City University","2019","2018","77","51","26","0","11","22","13","9","0","4","55","38","17","0","7","5","5","0","5","5","0"
"00318400","University of Oklahoma","2019","2018","72","43","29","0","9","42","23","19","0","5","30","20","10","0","4","7","7","0","23","23","0"
"00318500","University of Tulsa","2019","2018","53","28","25","0","7","27","12","15","0","4","26","16","10","0","3","3","3","0","5","5","0"
"00319100","Concordia Law School","2019","2018","48","25","23","0","6","13","6","7","0","3","35","19","16","0","3","3","3","0","7","7","0"
"00319700","Lewis and Clark College","2019","2018","138","82","56","0","20","41","23","18","0","7","97","59","38","0","13","6","6","0","19","18","1"
"00322300","University of Oregon","2019","2018","87","39","48","0","10","30","12","18","0","7","57","27","30","0","3","7","7","0","19","16","3"
"00322700","Willamette University","2019","2018","50","29","21","0","6","30","18","12","0","6","20","11","9","0","0","2","2","0","5","5","0"
"00325600","Drexel University","2019","2018","134","67","67","0","26","36","15","21","0","7","98","52","46","0","19","5","5","0","21","20","1"
"00325800","Duquesne University","2019","2018","94","54","40","0","10","29","13","16","0","4","65","41","24","0","6","5","5","0","8","8","0"
"00331301","Widener University-Delaware","2019","2018","80","42","38","0","9","26","12","14","0","2","54","30","24","0","7","6","4","2","11","11","0"
"00331302","Widener Commonwealth","2019","2018","58","37","21","0","3","15","8","7","0","1","43","29","14","0","2","4","4","0","8","8","0"
"00332900","Pennsylvania State University-Penn State Law","2019","2018","66","41","25","0","11","47","26","21","0","9","19","15","4","0","2","6","5","1","20","20","0"
"00332923","Pennsylvania State University-Dickinson School of Law","2019","2018","52","26","26","0","5","23","10","13","0","2","29","16","13","0","3","4","4","0","12","6","6"
"00337101","Temple University","2019","2018","192","114","78","0","35","58","30","28","0","14","134","84","50","0","21","9","7","2","17","16","1"
"00337800","University of Pennsylvania","2019","2018","246","155","91","0","49","86","54","32","0","19","160","101","59","0","30","15","14","1","23","23","0"
"00337900","University of Pittsburgh","2019","2018","159","103","56","0","16","51","26","25","0","10","108","77","31","0","6","5","5","0","17","16","1"
"00338801","Villanova University","2019","2018","110","61","49","0","14","41","17","24","0","6","69","44","25","0","8","7","7","0","32","26","6"
"00341001","Roger Williams University","2019","2018","89","48","41","0","10","26","9","17","0","5","63","39","24","0","5","6","6","0","17","17","0"
"00344800","University of South Carolina","2019","2018","105","67","38","0","10","57","30","27","0","7","48","37","11","0","3","10","10","0","23","23","0"
"00347400","University of South Dakota","2019","2018","30","19","11","0","6","16","10","6","0","1","14","9","5","0","5","2","2","0","3","3","0"
"00347900","Belmont University","2019","2018","40","25","15","0","6","19","11","8","0","4","21","14","7","0","2","4","4","0","9","9","0"
"00350200","Lincoln Memorial University","2019","2018","39","18","21","0","4","19","10","9","0","3","20","8","12","0","1","4","3","1","9","9","0"
"00350900","University of Memphis","2019","2018","58","36","22","0","7","25","12","13","0","3","33","24","9","0","4","4","4","0","1","1","0"
"00353000","University of Tennessee","2019","2018","93","55","38","0","10","39","21","18","0","7","54","34","20","0","3","7","7","0","16","16","0"
"00353500","Vanderbilt University","2019","2018","141","88","53","0","21","50","29","21","0","8","91","59","32","0","13","7","7","0","15","15","0"
"00354500","Baylor University","2019","2018","138","93","45","0","10","32","23","9","0","4","106","70","36","0","6","2","2","0","0","0","0"
"00361300","Southern Methodist University","2019","2018","153","103","50","0","22","44","23","21","0","8","109","80","29","0","14","5","5","0","22","21","1"
"00362300","St. Mary's University","2019","2018","102","65","37","0","25","58","34","24","0","15","44","31","13","0","10","4","4","0","11","11","0"
"00364200","Texas Southern University","2019","2018","95","38","57","0","77","40","17","23","0","32","55","21","34","0","45","6","6","0","17","12","5"
"00364400","Texas Tech University","2019","2018","58","36","22","0","8","36","21","15","0","7","22","15","7","0","1","6","6","0","21","17","4"
"00364500","Texas A&M University","2019","2018","103","59","44","0","19","57","30","27","0","15","46","29","17","0","4","9","8","1","37","37","0"
"00365200","University of Houston","2019","2018","219","144","75","0","38","57","33","24","0","7","162","111","51","0","31","10","9","1","10","10","0"
"00365800","University of Texas at Austin","2019","2018","292","201","91","0","31","94","58","36","0","13","198","143","55","0","18","18","16","2","23","16","7"
"00367000","Brigham Young University","2019","2018","94","66","28","0","6","41","25","16","0","5","53","41","12","0","1","10","10","0","18","18","0"
"00367500","University of Utah","2019","2018","97","57","40","0","12","44","26","18","0","7","53","31","22","0","5","6","6","0","11","11","0"
"00370500","William and Mary Law School","2019","2018","156","103","53","0","13","46","25","21","0","2","110","78","32","0","11","8","8","0","24","19","5"
"00374400","University of Richmond","2019","2018","130","74","56","0","12","52","27","25","0","5","78","47","31","0","7","9","9","0","9","9","0"
"00374500","University of Virginia","2019","2018","238","159","79","0","24","85","57","28","0","15","153","102","51","0","9","15","15","0","36","33","3"
"00374900","George Mason University","2019","2018","213","149","64","0","27","52","39","13","0","7","161","110","51","0","20","9","5","4","15","13","2"
"00376800","Washington and Lee University","2019","2018","90","62","28","0","12","34","20","14","0","7","56","42","14","0","5","6","6","0","10","10","0"
"00377800","Gonzaga University","2019","2018","77","48","29","0","10","24","12","12","0","6","53","36","17","0","4","4","4","0","8","8","0"
"00379001","Seattle University","2019","2018","167","94","73","0","37","49","25","24","0","15","118","69","49","0","22","0","0","0","17","15","2"
"00379800","University of Washington","2019","2018","167","105","62","0","25","54","24","30","0","13","113","81","32","0","12","11","5","6","1","1","0"
"00382700","West Virginia University","2019","2018","62","33","29","0","4","35","17","18","0","4","27","16","11","0","0","5","5","0","16","16","0"
"00386300","Marquette University","2019","2018","124","76","48","0","12","37","21","16","0","4","87","55","32","0","8","8","5","3","15","15","0"
"00389500","University of Wisconsin","2019","2018","121","64","57","0","22","65","26","39","0","16","56","38","18","0","6","11","10","1","13","13","0"
"00393200","University of Wyoming","2019","2018","35","20","15","0","6","23","13","10","0","5","12","7","5","0","1","2","2","0","1","1","0"
"00393600","Pontifical Catholic University of P.R.","2019","2018","65","45","20","0","65","35","22","13","0","35","30","23","7","0","30","4","4","0","8","8","0"
"00393801","Inter American University of Puerto Rico","2019","2018","99","66","33","0","96","31","18","13","0","30","68","48","20","0","66","7","6","1","1","1","0"
"00394200","University of Puerto Rico","2019","2018","120","68","52","0","118","48","30","18","0","47","72","38","34","0","71","2","2","0","6","6","0"
