Order,School ID,school,USNRank,Overall,USNScore,Peer Rep,Lawyer Judge Rep,LSAT,UPGA,Student Selectivity,Employed at Graduation,Employed at 9 mos,Bar Passage,Financial Aid,Direct Expenses,Student-Faculty Ratio,Library,Peer,Lawyer/Judge,Student/Faculty,LSAT_percentile,UGPA,Acceptance,Grad Impute,employed9mo,Bar Passage,FinAid,DirExp,Library
49,3120,Wake Forest University,47,53,0.511183038,0.743723113,0.850410628,0.973864209,0.457608367,-0.047465721,0.587030542,-0.326207517,0.231906055,-0.372396692,0.247500621,0.807911268,0.820060955,3,3.5,9.7,0.8574,3.58,53,52.2,62.3,1.086956522,14872,40450,1184800
50,3034,Florida State University,50,52,0.434719361,0.627993687,0.06816521,0.731389774,0.265666177,0.667241054,-0.374249358,0.947201271,0.603082837,-0.365321202,0.142244967,-0.142260328,-0.132843361,2.9,2.9,12.2,0.806,3.43,41,32.5,81,1.133333333,14977,38838,711003
51,3068,Tulane University,50,52,0.376495097,0.743723113,0.589662155,0.973864209,0.240073886,0.071652075,-0.198583995,-0.12872701,0.681277946,0.497551647,-0.537084946,0.23780831,0.625482614,3,3.3,11.2,0.8574,3.41,51,36.1,65.2,1.143103448,27782,28434,1088053
52,3011,Pepperdine University,52,51,0.36153777,0.280805409,0.589662155,0.84790959,0.470404513,0.369446565,-0.193704402,-0.155965701,1.493728663,0.549303802,0.373291574,-0.028239737,-0.46102826,2.6,3.3,11.9,0.8307,3.59,46,36.2,64.8,1.244615385,28550,42376.5,547825
53,3139,Temple University,52,51,0.336813395,0.280805409,0.198539446,0.84790959,0.342443053,0.607682156,0.191783477,0.211756623,0.425227296,-0.551204432,0.185502952,0.845918131,0.051765421,2.6,3,9.6,0.8307,3.49,42,44.1,70.2,1.111111111,12218.5,39500.5,802793
54,3161,University of Richmond,52,51,0.350855804,0.165075983,0.198539446,0.84790959,0.355239199,1.084153339,0.513836641,0.320711386,-0.297743931,0.24249708,0.201892014,0.997945587,-0.209204906,2.5,3,9.2,0.8307,3.5,34,50.7,71.8,1.020779221,23997,39751.5,673035
55,3146,University of Tennessee - Knoxville,52,51,0.329449056,0.280805409,0.06816521,0.581848147,0.534385242,0.726799952,0.435763147,0.606717638,0.736474493,-0.981495301,-0.269407804,0.959938723,-0.030076666,2.6,2.9,9.3,0.7743,3.64,40,49.1,76,1.15,5833,32533.5,762100
56,3148,Baylor University,56,50,0.327105942,0.049346557,0.589662155,0.731389774,0.406423783,1.322388931,-0.213222775,0.463714512,0.665855381,0.669553439,0.113743669,-0.75037015,-0.951503566,2.4,3.3,13.8,0.806,3.54,30,35.8,73.9,1.141176471,30334.5,38401.5,303954
57,3040,Georgia State University,56,50,0.30668909,0.165075983,-0.192583263,0.581848147,0.22727774,1.441506727,1.494634915,0.776959454,0.421042459,-0.79355681,-0.162519774,0.541863221,-0.356841652,2.5,2.7,10.4,0.7743,3.4,28,70.8,78.5,1.110588235,8622,34170.5,599628
58,3095,University of Nebraska - Lincoln,56,50,0.219583605,0.049346557,0.328913682,0.266253989,0.57277368,-0.940849189,0.557752982,0.647575674,0.544182625,-0.852215991,-0.333527564,0.503856357,-0.372780475,2.4,3.1,10.5,0.7074,3.67,68,51.6,76.6,1.125974026,7751.5,31551.5,591703
59,3123,Case Western Reserve University,59,49,0.292223013,0.165075983,0.328913682,0.731389774,0.278462323,1.143712237,-0.27665749,0.245804986,-0.352373676,0.46112972,0.194611614,0.465849493,-0.321571097,2.5,3.1,10.6,0.806,3.44,33,34.5,70.7,1.013953488,27241.5,39640,617165
60,3015,University of California - Hastings,59,49,0.351756405,0.859452539,1.241533337,0.581848147,0.278462323,0.190769871,-0.427924885,-1.35446809,0.668752575,0.43690459,0.501531093,-0.864390741,1.221749472,3.1,3.8,14.1,0.7743,3.44,49,31.4,47.2,1.141538462,26882,44340.5,1384525
61,3154,University of Houston,59,49,0.301294921,0.165075983,-0.192583263,0.731389774,0.316850761,0.607682156,0.572391762,0.729291746,-0.1627422,-0.777283183,0.00326441,1.378014225,-0.150475622,2.5,2.7,8.2,0.806,3.47,42,51.9,77.8,1.037647059,8863.5,36709.5,702236
62,3091,University of Missouri,59,49,0.282757826,0.280805409,0.198539446,0.4285326,0.304054615,0.190769871,0.016118114,0.783769127,-0.170588768,-1.099992911,-0.105125407,0.541863221,-0.324350587,2.6,3,10.4,0.7418,3.46,49,40.5,78.6,1.036666667,4074.5,35049.5,615783
63,3099,Seton Hall University,63,48,0.246502185,-0.066382869,0.198539446,0.266253989,0.419219929,0.131210973,0.88468574,0.722482073,0.427478632,-0.277248198,-0.021319184,0.465849493,0.268044695,2.3,3,10.6,0.7074,3.55,50,58.3,77.7,1.111392405,16284,36333,910330
64,3026,University of Connecticut,63,48,0.184528565,0.512264261,-0.192583263,0.4285326,0.291258469,-0.107024619,-0.5645535,-0.489639661,-0.137981919,0.409546029,0.686544675,0.845918131,0.102089867,2.8,2.7,9.6,0.7418,3.45,54,28.6,59.9,1.040740741,26476,47174,827815
65,3063,University of Kentucky,63,48,0.272928201,0.165075983,0.328913682,0.096427537,0.342443053,-0.404819108,0.791973465,1.165110796,0.444989022,0.358535115,-0.795653425,0.275815174,0.849917337,2.5,3.1,11.1,0.6714,3.49,59,56.4,84.2,1.113580247,25719,24474,1199645
66,3038,University of Miami,63,48,0.26174592,0.396534835,0.328913682,0.4285326,0.252870031,0.071652075,-0.042437006,0.232185641,-0.094658133,0.678886347,-0.038785616,-0.104253464,0.058778503,2.7,3.1,12.1,0.7418,3.42,51,39.3,70.5,1.046153846,30473,36065.5,806280
67,3024,University of Denver,67,47,0.173140054,0.396534835,0.198539446,0.266253989,0.252870031,-0.583495802,-0.149788061,-0.155965701,-0.102916903,1.396947502,-0.176819395,0.883924995,-0.013725545,2.7,3,9.5,0.7074,3.42,62,37.1,64.8,1.045121951,41129,33951.5,770230
68,3060,University of Kansas,67,47,0.244316276,0.280805409,0.328913682,0.581848147,0.316850761,-0.285701312,-0.491359599,0.668004692,-0.562970066,0.136095188,-0.460493828,0.389835765,-0.525455297,2.6,3.1,10.8,0.7743,3.47,57,30.1,76.9,0.987640449,22418,29607,515791
69,3185,University of Nevada - Las Vegas,67,47,0.130209098,-0.066382869,-0.453331735,0.581848147,0.265666177,1.024594441,0.18202429,0.27985335,-0.312632856,-0.587929594,0.365390871,0.617876948,0.578842701,2.3,2.5,10.2,0.7743,3.43,35,43.9,71.2,1.018918919,11673.5,42255.5,1064863
70,3132,University of Oklahoma,67,47,0.241469946,0.049346557,0.328913682,0.4285326,0.380831491,0.548123258,0.318652905,0.947201271,-0.268616124,-0.769567529,-0.280050901,-0.788377013,-0.405164947,2.4,3.1,13.9,0.7418,3.52,43,46.7,81,1.024418605,8978,32370.5,575601
71,3029,American University,71,46,0.235666406,0.512264261,0.459287919,0.266253989,0.188889302,0.131210973,0.513836641,-0.441971953,-0.611483294,-0.38088728,0.34181935,0.313822038,-0.029368721,2.8,3.2,11,0.7074,3.37,50,50.7,60.6,0.981578947,14746,41894.5,762452
72,3137,Pennsylvania State University,71,46,0.135394803,-0.182112295,0.328913682,0.581848147,0.457608367,0.369446565,-0.540155533,-1.007174784,0.850104422,-0.638266651,1.233488833,1.22598677,0.266085779,2.2,3.1,8.6,0.7743,3.58,46,29.1,52.3,1.164197531,10926.5,55550.5,909356
73,3100,University of New Mexico,71,46,0.153131529,0.049346557,-0.192583263,-0.273888478,0.265666177,0.48856436,0.821251026,0.627146656,-0.956573448,-1.11724363,0.48527262,1.187979906,-0.343495276,2.4,2.7,8.7,0.5929,3.43,44,57,76.3,0.938461538,3818.5,44091.5,606264
74,3019,University of San Diego,71,46,0.175277324,0.280805409,0.06816521,0.731389774,0.380831491,0.309887667,0.113709982,-0.476020316,0.767257183,0.787579351,-0.345248029,0.389835765,1.93324648,2.6,2.9,10.8,0.806,3.52,47,42.5,60.1,1.153846154,32086,31372,1738291
75,3009,Loyola Marymount University,75,45,0.135367834,0.165075983,0.328913682,0.731389774,0.329646907,0.309887667,-0.481600413,-0.544117043,1.961625549,-0.261614735,0.049558615,-1.130438788,0.245265754,2.5,3.1,14.8,0.806,3.48,47,30.3,59.1,1.303076923,16516,37418.5,899004
76,3005,University of Arkansas - Fayetteville,75,45,0.114704716,-0.066382869,0.06816521,-0.08707938,0.265666177,-0.464378006,0.035636488,0.845056181,0.557448849,-1.019433404,0.003558238,0.123787719,-0.353060581,2.3,2.9,11.5,0.6325,3.43,60,40.9,79.5,1.127631579,5270,36714,601508
77,3103,Yeshiva University,75,45,0.151960735,0.396534835,0.06816521,0.731389774,0.355239199,0.012093177,-0.340092204,-0.373875226,0.452139647,0.295731719,-0.200945923,-0.408308375,-0.045172793,2.7,2.9,12.9,0.806,3.5,52,33.2,61.6,1.114473684,24787,33582,754594
78,3102,Brooklyn Law School,78,44,0.104069503,0.165075983,-0.192583263,0.266253989,0.112112426,-0.047465721,0.386967213,0.130040551,1.294613264,0.127739371,0.347532669,-1.586521154,0.08001686,2.5,2.7,16,0.7074,3.31,53,48.1,69,1.219736842,22294,41982,816840
79,3046,Illinois Institute of Technology,78,44,0.091110929,0.165075983,-0.062209026,0.4285326,0.265666177,-0.583495802,-0.213222775,0.021085788,-0.009306129,0.858401636,-0.254716414,0.389835765,-0.046097949,2.5,2.8,10.8,0.7418,3.43,62,35.8,67.4,1.056818182,33137,32758.5,754134
80,3048,Loyola University Chicago,78,44,0.090459991,0.049346557,0.328913682,0.4285326,0.09931628,0.012093177,-0.066834973,-0.162775374,-0.436765754,1.111030321,-0.088964877,-0.142260328,-0.605404837,2.4,3.1,12.2,0.7418,3.3,52,38.8,64.7,1.003409091,36886,35297,476039
